,Unnamed: 0,price
0,0,499.0
1,1,499.0
2,2,664.0
3,3,399.0
4,4,559.0
5,5,422.0
6,6,664.0
7,7,844.0
8,8,566.0
9,9,499.0
10,10,559.0
11,11,664.0
12,12,449.0
13,13,531.0
14,14,567.0
15,15,450.0
16,16,844.0
17,17,974.0
18,18,359.0
19,19,477.0
20,20,450.0
21,21,675.0
22,22,477.0
23,23,450.0
24,24,422.0
25,25,399.0
26,26,351.0
27,27,559.0
28,28,477.0
29,29,844.0
30,30,571.0
31,31,602.0
32,32,844.0
33,33,351.0
34,34,559.0
35,35,844.0
36,36,844.0
37,37,559.0
38,38,477.0
39,39,449.0
40,40,571.0
41,41,450.0
42,42,531.0
43,43,664.0
44,44,566.0
